ID,Company_Name,Address,Phone,Email,Website,Contact_Name
19908,GC Heart and Specialist Centre,"Pacific Private Clinic 249 Central St ARUNDEL, QLD 4214",,,,
19545,A-Gas Australia Pty Ltd A-Gas,"9-11 Oxford Road LAVERTON NORTH, VIC 3026",+61(03) 93689222,elvira.nigido@agas.com,http://www.agas.com,Ms Elvira Nigido
18666,AAA Mackay Pathology,"1b/1 Windmill Crossing MOUNT PLEASANT, QLD 4740",+61(07) 49420128,henry.lau@aaamackay.com.au,http://www.aaamackaypathology.com.au,Dr Henry Lau
20888,Norwest Day Hospital,"Norwest Medical Centre FL 1, SE 102, 9 Norbrik Drive BELLA VISTA, NSW 2153",,,,
2531,St Vincent's Pathology,"Abbotsford Medical and Acupuncture Centre 295 Victoria Street ABBOTSFORD, VIC 3067",+61(03) 92314095,valena.braniff@svha.org.au,http://www.svhm.org.au,Ms Valena Braniff
2220,Tetra Tech Coffey Pty Ltd,"Level 1, 436 Johnston Street Abbotsford, VIC 3067",+61(03) 92907000,Simon.Blanch@coffey.com,http://www.coffey.com,Mr Simon Blanch
2204,Dorevitch Pathology,"Level 1 46 Sir Donald Bradman Drive MILE END, SA 5031",+61(03) 92440336,Tim.Gunzburg@dorevitch.com.au,http://http://www.abbottpathology.com.au,Ms Nadine Shiells
20125,ABC Refinery PTY LTD,"12-14 Meeks Road MARRICKVILLE, NSW 2204",+61 0413382941,Ron.cook@ebsrefinery.com,http://www.abcrefinery.com,Mr Ronald J Cook
19594,Abdex Industries Pty Ltd,"42 Bushland Ridge BIBRA LAKE, WA 6163",+61(08) 94183044,sales@abdex.com.au,http://www.abdex.com.au,Mr Daniel Bain
15676,Aben Technical Services Pty Ltd,"Factory 11, 46-50 Buchanan Road BROOKLYN, VIC 3012",+61(03) 93148818,azaccari@aben-tech.com.au,http://www.aben-tech.com.au,Mr Angelo Zaccari
14689,Abrostow 2000 Pty Ltd,"38 Ashby Close BARGO, NSW 2574",+61(02) 46843883,abrostow@bigpond.com,http://www.pipetesting.com.au,Mrs Sharon Poyntz
16864,Absolute Lifting & Safety,"1/214 Leitchs Road BRENDALE, QLD 4500",+61(07) 32057000,steve@absolutels.com.au,http://www.absoluteliftingandsafety.com.au,Mr Stephen Smith
18641,ABV Inspections,"Unit F7/5-7 Hepher Road CAMPBELLTOWN, NSW 2560",+61(02) 46477698,inspectors@abvinspections.com.au,http://www.abvinspections.com.au,Mr Justin Gorrie
17051,AUSTUBE MILLS,"146 Ingram Road ACACIA RIDGE, QLD 4110",+61(07) 39096113,milan.bijok@austubemills.com,http://www.austubemills.com,Mr Milan Bijok
19349,Access Cardiology,"Unit 46, Floor 2, Hollywood Medical Centre 85 Monash Avenue NEDLANDS, WA 6009",,,,
20788,ACCESS CARDIOLOGY,"32 Miniliya Parkway GREENFIELDS, WA 6210",,,,
502,Accredited Test Services,"2153 Melbourne - Lancefield Road MONEGEETTA, VIC 3433",,,,
502,Accredited Test Services,"2153 Melbourne-Lancefield Road MONEGEETTA, VIC 3433",,,,
502,Accredited Test Services,"2153 Melbourne-Lancefield Road MONEGEETTA, VIC 3433",,,,
15636,Animal Consulting Enterprises Pty Ltd ACE Laboratory Services,"12 Gildea Lane EAST BENDIGO, VIC 3550",+61(03) 54439665,brent.maddren@acelabservices.com.au,,Mr Brent Maddren
15636,Animal Consulting Enterprises Pty Ltd ACE Laboratory Services,"12 Gildea Lane EAST BENDIGO, VIC 3550",+61(03) 54439665,brent.maddren@acelabservices.com.au,,Mr Brent Maddren
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"478 Freeman Road RICHLANDS, QLD 4077",+61(07) 37138417,andrew.white@alsglobal.com,http://www.alsglobal.com,Mr A White
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"BMA Caval Ridge Mine Peak Downs Highway MORANBAH, QLD 4744",+61 0439465039,Tim.Elletson@alsglobal.com,http://www.alsglobal.com,Mr Tim Elletson
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"Lot 2073 Collins Street Array COLLIE, WA 6225",+61(08) 97343622,clayton.flynn@alsglobal.com,http://www.alsglobal.com,Mr Clayton Flynn
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"BMA Daunia Mine Daunia Mine Access Road COPPABELLA, QLD 4741",+61 0439465039,Tim.Elletson@alsglobal.com,http://www.alsglobal.com,Mr Tim Elletson
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"9 Foundry Road PO Box 1316 EMERALD, QLD 4720",+61(07) 49882600,Katie.West@alsglobal.com,http://www.alsglobal.com,Ms K West
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"5-7 Talbot Road GUNNEDAH, NSW 2380",+61(02) 67420058,gunnedah.laboratory@alsglobal.com,http://www.alsglobal.com,Mr Matthew Steele
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"Unit 2, 16 Donald Street LITHGOW, NSW 2790",+61(02) 63507400,Almudenda.bryce@alsglobal.com,http://www.alsglobal.com,Ms A Bryce
723,ACM Laboratory Pty Ltd,"21 Teton Court HIGHETT, VIC 3190",+61(03) 95550671,don@acmlab.com.au,http://acmlab.com.au,Mr Don Zhao
14172,Acoustic Research Labs Pty Ltd,"36/14 Loyalty Road NORTH ROCKS, NSW 2151",+61(02) 94840800,ken.williams@acousticresearch.com.au,http://www.acousticresearch.com.au,Mr Ken Williams
1,National Measurement Institute (NMI),"36 Bradfield Road LINDFIELD WEST, NSW 2070",+61(02) 84673836,calibration.coordinator@measurement.gov.au,http://www.measurement.gov.au,Ms Charmaine Kwan
14383,Acousto-Scan Pty Ltd,"44/59-69 Halstead Street SOUTH HURSTVILLE, NSW 2221",+61 0415423334,admin@acoustoscan.com.au,http://www.acoustoscan.com.au,Mr Grant Humphreys
16973,ACS Laboratories (Australia),"37 Stubbs Street Kensington, VIC 3031",+61(03) 92200115,vince@acslab.com.au,http://www.acslab.com.au,Mr V Murone
1287,ACT Health,"25 Mulley Street HOLDER, ACT 2611",+61(02) 51249195,jade.redfern@act.gov.au,,Dr Jade Redfern
1287,ACT Health,"Howard Florey Centenary House 25 Mulley Street HOLDER, ACT 2611",+61(02) 51249195,jade.redfern@act.gov.au,,Dr Jade Redfern
1287,ACT Health,"25 Mulley Street HOLDER, ACT 2611",+61(02) 51249195,jade.redfern@act.gov.au,,Dr Jade Redfern
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"46 Callemondah Drive GLADSTONE, QLD 4680",+61(07) 49715600,Vanessa.Warden@alsglobal.com,http://www.alsglobal.com,Ms Vanessa Warden
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"5 John Vella Drive PAGET, QLD 4740",+61(07) 49639300,,http://www.alsglobal.com,Mr Daniel Johnson
15784,ACIRL Quality Testing Services Pty Ltd trading as ACTest,"2 Spit Island Close MAYFIELD, NSW 2304",+61(02) 40142600,Stephen.Studdert@alsglobal.com,http://www.alsglobal.com,Mr Stephen Studdert
14716,ACTION CCTV SERVICES,"121 Myall Street OATLEY, NSW 2223",+61 0407741679,diblasi121@bigpond.com,,Mr Marcelo Diblasi
19996,Active Orthopaedic Centre,"1401 High Street GLEN IRIS, VIC 3146",,,,
17093,Active Soil Testing Pty Ltd,"163 North Branch Road MARYVALE, QLD 4370",+61(07) 46661092,ActiveSoilTesting@bigpond.com,,Mr Peter Andrew Locke
9262,ACU-VIB Electronics,"Unit 14/22 Hudson Avenue CASTLE HILL, NSW 2154",+61(02) 96808133,jack@acu-vib.com.au,http://www.acu-vib.com.au,Mr Jack Kielt
2203,Laverty Pathology,"Suite 3, 282 Brunker Road ADAMSTOWN, NSW 2289",+61(02) 49234244,peter.limbert@laverty.com.au,http://www.laverty.com.au,Mr P Limbert
3427,Australian Clinical Labs,"1 Butler Boulevard ADELAIDE AIRPORT, SA 5950",+61(08) 82055683,natalie.taylor@clinicallabs.com.au,http://www.Clinicallabs.com.au,Mrs Natalie Taylor
19420,Adelaide Belt & Hose Distributors Pty Ltd,"42 Scotland Road MILE END, SA 5031",+61(08) 82341155,Malcolm@abhose.com.au,http://www.beltandhose.com.au,Mr Malcolm Amos
11629,Mettler Toledo Limited,"29 Walsh Street THEBARTON, SA 5031",+61 1300659761,timothy.musimwa@mt.com,http://au.mt.com,Mr T Musimwa
1267,Bureau Veritas Asset Integrity and Reliability Services Pty Limited,"22A Taminga Street REGENCY PARK, SA 5010",+61(08) 84165270,fernando.borges@bureauveritas.com,http://http://www.bureauveritas.com.au,Mr Fernando Borges
1267,Bureau Veritas Asset Integrity and Reliability Services Pty Limited,"22A Taminga Street REGENCY PARK, SA 5010",+61 0410221484,paul.hosking@au.bureauveritas.com,http://www.bureauveritas.com.au,Mr Paul Hosking
252,Adelaide Brighton Cement Ltd,"62 Elder Road BIRKENHEAD, SA 5015",+61(08) 83000364,marc.wythe@adbri.com.au,,Mr Marc Wythe
252,Adelaide Brighton Cement Ltd,"62 Elder Road BIRKENHEAD, SA 5015",+61(08) 83000364,marc.wythe@adbri.com.au,,Mr Marc Wythe
16948,Adelaide East MRI Pty Ltd,"298 Payneham Road PAYNEHAM, SA 5070",,,,
20752,ADELAIDE HEART CLINIC,"Calvary Adelaide Consulting Suite Floor 2, 120 Angus St ADELAIDE, SA 5000",,,,
17397,Adelaide Heart Clinic,"32 North Tce KENT TOWN, SA 5067",,,,
20394,Glen Dimplex Australia Pty Ltd,"11 Duncan Road DRY CREEK, SA 5094",+61 0401048814,tim.cannon@glendimplex.com.au,,Mr Tim Cannon
13770,Intertek AIS,"150-152 Francis St WINGFIELD, SA 5013",+61(08) 83450400,jomy.paul@intertek.com,http://www.intertek.com,Mr Jomy Paul
369,Bullivants Pty Limited,"1/14 White Road GEPPS CROSS, SA 5094",+61(08) 82153700,greg.dufour@bullivants.com,http://www.bullivants.com,Mr Greg Dufour
1986,Construction Sciences Pty Ltd,"Unit 6 7-9 Streiff Road WINGFIELD, SA 5013",+61(08) 81643932,adam.gleeson@constructionsciences.net,http://www.constructionsciences.net,Mr Adam Gleeson
332,A. Noble & Son Limited (Nobles),"80-92 Grand Junction Road KILBURN, SA 5084",+61(08) 81696688,AP@nobles.com.au,http://www.nobles.com.au,Mr David Miller
431,Coffey Testing Pty Ltd,"Unit 2, 30-34 Ragless Street ST MARYS, SA 5042",+61 0475025335,stephen.pender@coffeytesting.com,http://www.coffeytesting.com,Mr Stephen Pender
10166,IDEXX Laboratories Pty Ltd,"117 Greenhill Road UNLEY, SA 5061",+61(08) 81522722,maryke-duplessis@idexx.com,http://www.idexx.com.au,Ms Maryke Du Plessis
1961,Golder Associates Pty Ltd,"118 Franklin Street ADELAIDE, SA 5000",+61(08) 82132126,gmiller@golder.com.au,http://www.golder.com,Mr Grant Miller
5450,Greencap Pty Ltd,"12 Greenhill Road WAYVILLE, SA 5034",+61(08) 82999955,Karin.Thomson@greencap.com.au,http://www.greencap.com.au,Ms Karin Thomson
1960,National Weighing & Instruments Pty Ltd,"3A Wilford Ave UNDERDALE, SA 5032",+61 1300669162,jamie.connolly@nationalweighing.com.au,http://http://www.nationalweighing.com.au,Mr Jamie Connolly
1115,Australian Water Quality Centre,"SA Water House 250 Victoria Square ADELAIDE, SA 5000",+61 1300653366,Sophia.Dellis@awqc.com.au,http://www.awqc.com.au,Ms Sophia Dellis
1115,Australian Water Quality Centre,"SA Water House 250 Victoria Square ADELAIDE, SA 5000",+61 1300653366,awqccsu@sawater.com.au,http://www.awqc.com.au,- Customer Service
11727,Healey Energy Services Trading as Transcare,"Grove Avenue Gate 3 Marleston, SA 5033",+61(08) 81520092,rod@healeyenergy.com,http://www.transcaretesting.com.au,Mr Rodney Healey
13770,Intertek AIS,"150 - 152 Francis Road WINGFIELD, SA 5013",+61(08) 83450400,hans.zuidland@intertek.com,http://www.intertek.com,Mr Hans Zuidland
19157,Woodville Diagnostic Imaging,"U10 844 - 850 Port Road WOODVILLE , SA 5011",,,,
13770,Intertek AIS,"150 - 152 Francis Road WINGFIELD, SA 5013",+61(08) 83450400,hans.zuidland@intertek.com,http://www.intertek.com,Mr Hans Zuidland
18881,Red Earth NDT Pty Ltd,"16 Playford Crescent SALISBURY NORTH, SA 5108",+61(08) 82681009,Smarries.Beukes@redearthndt.com.au,http://www.redearthndt.com.au,Mr Smarries Beukes
14964,GTA Pty Ltd trading as GLI Australia,"15-31 Ayliffes Road ST MARYS, SA 5042",+61(08) 82771422,N.Gee@gaminglabs.com,http://www.gaminglabs.com,Mr Nathan Gee
14964,GTA Pty Ltd trading as GLI Australia,"15-31 Ayliffes Road ST MARYS, SA 5042",+61(08) 82771422,N.Gee@gaminglabs.com,http://www.gaminglabs.com,Mr Nathan Gee
13658,Intertek Testing Services (Australia) Pty Ltd,"2 Elder Road LARGS NORTH, SA 5016",+61(08) 83011960,Ilya.Havrilenko@intertek.com,http://www.intertek.com,Mr Ilya Havrilenko
14382,Callidus Process Solutions Pty Ltd,"2 Maritime Court GILLMAN, SA 5013",+61(08) 82434600,renee.chappell@callidusgroup.com.au,http://www.callidusgroup.com.au,Ms Renee Chappell
20833,ADELAIDE WEST MRI,"FL 1 152 - 154 Henley Beach Road TORRENSVILLE, SA 5031",,,,
17345,Ademar Medical P/L T/A Frankston Pain Management,"Se 7 18-20 Clarendon St FRANKSTON, VIC 3199",,,,
20502,Adoradum Genomics,"Unit 1 15 Kulin Way MANDURAH, WA 6210",+61 0438946241,Darren.Preece@adoradum.com,,Dr Darren Preece
17215,Advanced Armaments International Pty Ltd,"16-22 Maffra Street COOLAROO, VIC 3048",+61(03) 93015563,mike@dvrengineering.com.au,http://www.ballistictesting.com.au,Mr Mike Nikol
20117,Advanced Drug Solutions,"Unit 5 No. 6 THE HUB Frost Drive MAYFIELD WEST, NSW 2304",+61(02) 49674467,richardv@advanceddrugsolutions.com.au,http://www.advanceddrugsolutions.com.au,Mr R Varnish
20299,Hawa Dane Pty Ltd Empire Office Furniture,"51 - 63 Heaton Street ROCKLEA, QLD 4106",+61 0418768498,TimN@empirefurniture.com.au,http://advancedtesting.com.au,Mr Tim Neale
18439,Advanced Gynaecological Surgery Centre,"Floor 1 18 Dequetteville Tce KENT TOWN, SA 5067",,,,
20229,Advanced Inspection & NDT Pty Ltd,"53A Cambridge Street PENSHURST, NSW 2222",+61 0425253761,Mike.ma@andt.com.au,http://http://www.andt.com.au/,Mr Mike Shun Ma
20414,Advanced Materials Testing Services Pty Ltd trading as MechTest Mech Test,"3/627 Boundary Rd ARCHERFIELD, QLD 4108",+61(07) 32770100,info@mechtest.com.au,http://www.mechtest.com.au,Mr Michael Mansfield
16491,Adventist Healthcare Limited,"185-187 Fox Valley Rd WAHROONGA, NSW 2076",,,,
19703,Assured Environmental Pty Ltd,"Unit 7 142 Tennyson Memorial Avenue TENNYSON, QLD 4105",+61(07) 33331960,timon@assuredenv.com.au,http://http://assuredenv.com.au/,Mr Timon Berger
20806,Aeolian Geotechnical Pty Ltd,"3/52 Secker Road MOUNT BARKER, SA 5251",+61 0484119360,c.eastham@aeoliangeo.com.au,http://aeoliangeo.com.au,Mr Chris Eastham
19238,Raytheon Australia Pty Ltd,"2-4 Ron Boyle Crescent Carole Park, QLD 4300",+61(07) 37182422,Joshua.Ford@raytheon.com.au,http://www.raytheon.com.au,Mr Joshua Ford
1146,AES Environmental,"7A/17 Comalco Court THOMASTOWN, VIC 3074",+61 1300550116,service@aesenvironmental.com.au,http://www.aesenvironmental.com.au,Mr Cameron Ross
14436,Australian Food Corporation Pty Ltd,"26 Coominya Connection Rd COOMINYA, QLD 4311",+61(07) 54265757,trish.maxwell@tyson.com,http://apmea.keystone.com,Mrs P Maxwell
15401,AG&G SERVICES PTY LTD,"Unit 1, 383 Dorset Road BAYSWATER, VIC 3153",+61 1300734093,dennyl@aggservices.com.au,http://www.aggservices.com.au,Mr Denny Lazzari
2227,Age Developments Pty Ltd,"38 Harris Road MALAGA, WA 6090",+61(08) 92092844,rob.peters@agedevelopments.com.au,http://www.agedevelopments.com.au,Mr Robert Peters
20038,Aggregate Services W.A.,"Unit 4/12 Flindell Street O'CONNOR, WA 6163",+61 0474873300,Mark@aggregateserviceswa.com.au,http://www.aggregateservicesWA.com.au,Mr Mark Rolfe
14332,Australian Genome Research Facility,"University of Adelaide Plant Genomics Centre Hartley Grove URRBRAE, SA 5064",+61(08) 83138387,nicole.burtt@agrf.org.au,http://www.agrf.org.au,Ms N Burtt
14332,Australian Genome Research Facility,"St Lucia Research Road, Level 5 Gehrmann Laboratories University Of Queensland, QLD 4072",+61(07) 33469682,david.hawkes@agrf.org.au,http://www.agrf.org.au,Dr David Hawkes
14332,Australian Genome Research Facility,"St Lucia Research Road, Level 5 Gehrmann Laboratories UNIVERSITY OF QUEENSLAND, QLD 4072",+61(07) 33469682,david.hawkes@agrf.org.au,http://www.agrf.org.au,Dr David Hawkes
14332,Australian Genome Research Facility,"Level 13 Victorian Comprehensive Cancer Centre 305 Grattan Street MELBOURNE, VIC 3000",+61(03) 93213736,melinda.ziino@agrf.org.au,http://www.agrf.org.au,Ms M Ziino
14332,Australian Genome Research Facility,"Level 13 Victorian Comprehensive Cancer Centre 305 Grattan Street MELBOURNE, VIC 3000",+61(03) 93213727,melanie.okeefe@agrf.org.au,http://www.agrf.org.au,Miss Melanie O'Keefe
14332,Australian Genome Research Facility,"Level 6, MRF building Rear 50 Murray Street PERTH, WA 6000",+61 0438977325,david.chandler@agrf.org.au,http://www.agrf.org.au,Dr D Chandler
14332,Australian Genome Research Facility,"The Westmead Institute for Medical Research 176 Hawkesbury Road WESTMEAD, NSW 2145",+61(02) 86273221,bhawana.nain@agrf.org.au,http://www.agrf.org.au,Ms B Nain
19057,Intertek Testing Services (Australia) Pty Ltd,"Level 3, 170 Greenhill Road PARKSIDE, SA 5063",+61 0416072045,debbrah.millard@intertek.com,,Ms Debbrah Millard
19057,Intertek Testing Services (Australia) Pty Ltd,"Level 3, 170 Greenhill Road PARKSIDE, SA 5063",,,http://www.intertek.com,
2562,SGS Australia Pty Ltd,"10/585 Blackburn Road NOTTING HILL, VIC 3168",+61(03) 95743276,Kieran.Hopkins@sgs.com,http://http://www.sgs.com.au,Mr Kieran Hopkins
15134,Agrifor Scientific Pty Ltd,"Unit 1, 22-30 Delhi Road NORTH RYDE, NSW 2113",+61(02) 98885253,filip@agrifor.com.au,http://www.agrifor.com.au,Mrs J Skopec
19874,Agrigen Biotech Pty Ltd,"Unit 1 of 4-6 Chaplin Drive Lane Cove West, NSW 2066",+61 0411751766,pmonckton@agrigen.com.au,http://www.agrigen.com.au,Dr Robert Parry Monckton
14951,AgriSolutions Australia Pty Ltd,"Unit 8, 2-8 Kabi Circuit, DECEPTION BAY, QLD 4508",+61(07) 32041115,Andrew.Keats@agrisolutions.com.au,http://www.agrisolutions.com.au,Mr Andrew Gordon Keats
18843,Specialist Medical Imaging,"Grd Fl, Grosefield 29 Grose Street PARRAMATTA, NSW 2150",,,,
19588,Specialist Medical Imaging,"Shop 13 13 Argyle Street PARRAMATTA, NSW 2150",,,,
14277,JAF Australia Pty Ltd T/A Air Equipment Sales,"Unit 1 / 9 Thomas Hanlon Court YATALA, QLD 4207",+61(07) 33820441,aes@japanairfilter.com,,Mr Allan Treloar
3181,Robson Environmental Pty Ltd,"140 Gladstone Street FYSHWICK, ACT 2609",+61(02) 62395656,john@robsonenviro.com.au,http://www.robsonenviro.com.au,Mr John Robson
15841,Air Noise Environment Pty Ltd,"Unit 3 4 Tombo Street Capalaba, QLD 4157",,,http://www.ane.com.au,
16646,"Department of Primary Industries, Parks, Water & Environment","13 St Johns Avenue NEW TOWN, TAS 7008",+61(03) 61654601,troy.porter@epa.tas.gov.au,http://http://epa.tas.gov.au/epa/air,Mr Tony Porter
14926,Air-Met Scientific Pty Ltd,"7-11 Ceylon Street NUNAWADING, VIC 3131",+ 1800000744,arnold.perez@airmet.com.au,http://www.airmet.com.au,Mr Arnold Perez
14926,Air-Met Scientific Pty Ltd,"135 Sydney Street MACKAY, QLD 4740",+61 0429882042,arnold.perez@airmet.com.au,http://http://www.airmet.com.au,Mr Arnold Perez
14926,Air-Met Scientific Pty Ltd,"7-11 Ceylon Street NUNAWADING, VIC 3131",+61 0429882042,arnold.perez@airmet.com.au,http://www.airmet.com.au,Mr Arnold Perez
18053,Defence Science & Technology Group,"506 Lorimer Street PORT MELBOURNE, VIC 3207",+61(03) 96267532,nicholas.athiniotis@dst.defence.gov.au,http://www.dsto.defence.gov.au,Mr Nicholas Athiniotis
20231,Airepure Australia Pty Ltd,"1 / 125 Hayward Avenue TORRENSVILLE, SA 5031",+61 0474900088,j.rowe@airepurecamfil.com.au,http://www.airepure.com.au,Mr Justin Rowe
20682,Airepure Australia Pty Ltd,"64 Geddes Street MULGRAVE, VIC 3170",+61(03) 95620011,n.ristevski@airepure.com.au,http://http://www.airepure.com.au,Mr Nick Ristevski
18436,Airflite Pty Ltd,"26 Newton Road PERTH AIRPORT, WA 6105",+61(08) 94789000,wvanstaden@airflite.com.au,http://www.airflite.com.au,Mr Wynand van Staden
15463,Airlabs Environmental Pty Ltd,"149 Bryants Road LOGANHOLME, QLD 4129",+61(07) 38013762,chris@airlabs.com.au,http://www.airlabs.com.au,Dr Christopher Clunies-Ross
1569,AIS Australian Instrument Services Pty Ltd,"Factories 1 and 2, 21 Stud Road BAYSWATER, VIC 3153",+61(03) 97299399,john@aispl.com.au,http://www.aispl.com.au,Mr John McGuinness
20840,AL NDT & INSPECTIONS,"15 Pengam Street KURABY, QLD 4112",+61 1300943672,info@alndtinspection.com,,Mr Mohammad Sultan
19959,Illawarra Medical Centre,"229 Illawarra Crescent BALLAJURA, WA 6066",,,,
20092,Great Southern Geotechnics Pty Ltd,"5A 209 Chester Pass Rd ALBANY, WA 6330",+61 0407903297,martin@gsgeotechnics.com,http://www.gsgeotechnics.com,Mr Martin Coffey
20318,Structerre Consulting Engineers,"Unit 5, 28/30  Prior Street ALBANY, WA 6330",+61(08) 98411315,albany@structerre.com.au,http://www.structerre.com.au,Mrs Kate Evans
2392,PathWest Laboratory Medicine WA,"Albany Health Campus Level 1, 64 Hardie Road SPENCER PARK, WA 6330",,,http://www.pathwest.com.au,
3158,Western Diagnostic Pathology,"87-89 Albany Highway ALBANY, WA 6330",+61(08) 93170762,quality@wdp.com.au,http://www.wdp.com.au,Mr Saverio Scriva
2204,Dorevitch Pathology,"201 Borella Road ALBURY, NSW 2640",+61(02) 60414225,theresa.richards@dorevitch.com.au,http://www.dorevitch.com.au,Ms T Richards
15184,NSW Police Force Forensic Evidence & Technical Services Command,"Albury Police Station 539-543 Olive Street ALBURY, NSW 2640",,,http://www.police.nsw.gov.au,
3477,Reproductive Medicine Albury Albury Day Surgery,"4 Baker Court ALBURY, NSW 2640",+61(02) 60414307,hbakos@monashivfgroup.com,http://www.reproductivemedicine.com.au,Assoc Prof Hassan Bakos
2204,Dorevitch Pathology,"Albury-Wodonga Specialist Centre Unit 1 2 Ramsay Place Albury, NSW 2640",+61(02) 60237345,michael.ribstein@dorevitch.com.au,http://www.dorevitch.com.au,Mr M Ribstein
15840,LMATS Pty Ltd,"Unit 4/856 Leslie Drive ALBURY, NSW 2640",+61 0437690841,admin@lmats.com.au,http://www.lmats.com.au,Mr Wayne Blakeman
20780,Albury Wodonga Geotechnical,"16 Kane Road WODONGA, VIC 3690",+61 0407572489,peter.vella@awgeo.com.au,,Mr Peter Vella
2204,Dorevitch Pathology,"Wodonga Campus 53-81 vermont Street WODONGA, VIC 3690",+61(02) 60517688,louise.hurse@dorevitch.com.au,http://www.dorevitch.com.au,Ms L Hurse
19614,Alcoa Portland Aluminium Pty Ltd Alcoa Portland Aluminium,"Quarry Road Portland, VIC 3305",+61(03) 55215587,paul.pitman@alcoa.com.au,http://www.alcoa.com.au,Mr P Pitman
20426,Alcolizer Pty Ltd,"36 Mumford Place BALCATTA, WA 6021",+61(08) 92307820,nick.fox@alcolizer.com.au,,Mr Nick Fox
2348,SA Pathology,"Aldinga GP Plus Lot 30 Pridham Blvd ALDINGA, SA 5173",+61(08) 82223632,nick.kalamboyias@health.sa.gov.au,http://www.sapathology.sa.gov.au,Mr Nick Kalamboyias
3427,Australian Clinical Labs,"24 Cooper Street ALEXANDRA, VIC 3714",+61 0429183948,Anne.Auld@clinicallabs.com.au,http://www.clinicallabs.com.au,Ms Anne Auld
20784,Alexandra District Health,"Radiology Department 12 Cooper Street ALEXANDRA, VIC 3714",,,,
1986,Construction Sciences Pty Ltd,"33 Applebee Street ST PETERS, NSW 2044",+61 0449137360,alexander.hodge@constructionsciences.net,http://www.constructionsciences.net,Mr Alexander Hodge
20238,Alfagomma Australia Pty Ltd,"1 Tacoma Circuit Canning Vale, WA 6155",,,http://www.alfagomma.com,
2349,Alfred Pathology Service,"55 Commercial Road MELBOURNE, VIC 3004",+61(03) 90763888,j.dagostino@alfred.org.au,http://www.alfred.org.au,Mr J D'Agostino
16399,Alfred Nuclear Medicine and Ultrasound Pty Ltd,"Rpah Medical Centre Se 206 Level 2, 100 Carillon Ave NEWTOWN, NSW 2042",,,,
3158,Western Diagnostic Pathology,"CLP Building No 5 82-84 Todd Street Alice Springs, NT 870",+61(08) 93170762,quality@wdp.com.au,http://www.wdp.com.au,Mr Saverio Scriva
